Group00_Index,Channel_Name,Crate,Card,Channel,Vset,Enabled,Flagged,Groups,,,,,,
0,LUX_E2,0,0,0,1562,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
1,LUX_N2,0,0,1,1239,0,1,GROUP00,,,,,,
2,LUX_S1,0,0,2,1702,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
3,LUX_S4,0,0,3,1197,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
4,LUX_W4,0,0,4,1471,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
5,LUX_N4,0,0,5,1714,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
6,LUX_S2,0,0,6,1239,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
7,LUX_E3,0,0,7,1639,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
8,LUX_E4,0,0,8,1438,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
9,LUX_S5,0,0,9,1290,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
10,LUX_N5,0,0,10,1747,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
11,LUX_W3,0,0,11,1236,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
12,LUX_W1,0,0,12,1316,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
13,LUX_E5,0,0,13,1716,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
14,LUX_E1,0,0,14,1204,0,1,GROUP00,,,,,,
15,LUX_N1,0,0,15,1241,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
16,LUX_W2,0,1,0,1250,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
17,LUX_S3,0,1,1,1205,1,0,GROUP00,,,,,,
18,LUX_N3,0,1,2,1590,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
19,LUX_W5,0,1,3,1558,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
20,CH_0_1_4,0,1,4,0,1,0,GROUP00;TANK;CAEN;SPARE,,,,,,
21,CH_0_1_5,0,1,5,0,1,0,GROUP00;TANK;CAEN;SPARE,,,,,,
22,CH_0_1_6,0,1,6,0,1,0,GROUP00;TANK;CAEN;SPARE,,,,,,
23,CH_0_1_7,0,1,7,0,1,0,GROUP00;TANK;CAEN;SPARE,,,,,,
24,CH_0_1_8,0,1,8,0,1,0,GROUP00;TANK;CAEN;SPARE,,,,,,
25,CH_0_1_9,0,1,9,0,1,0,GROUP00;TANK;CAEN;SPARE,,,,,,
26,CH_0_1_10,0,1,10,0,1,0,GROUP00;TANK;CAEN;SPARE,,,,,,
27,CH_0_1_11,0,1,11,0,1,0,GROUP00;TANK;CAEN;SPARE,,,,,,
28,CH_0_1_12,0,1,12,0,1,0,GROUP00;TANK;CAEN;SPARE,,,,,,
29,CH_0_1_13,0,1,13,0,1,0,GROUP00;TANK;CAEN;SPARE,,,,,,
30,CH_0_1_14,0,1,14,0,1,0,GROUP00;TANK;CAEN;SPARE,,,,,,
31,CH_0_1_15,0,1,15,0,1,0,GROUP00;TANK;CAEN;SPARE,,,,,,
32,ETEL_116,0,2,0,1467,1,0,GROUP00,,,,,,
33,ETEL_134,0,2,1,1811,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
34,ETEL_146,0,2,2,1658,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
35,ETEL_127,0,2,3,1403,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
36,ETEL_117,0,2,4,1267,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
37,ETEL_701,0,2,5,1587,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
38,ETEL_704,0,2,6,1932,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
39,ETEL_719,0,2,7,1707,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
40,ETEL_105,0,2,8,1550,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
41,ETEL_703,0,2,9,1725,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
42,ETEL_119,0,2,10,1672,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
43,ETEL_112,0,2,11,1577,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
44,ETEL_135,0,2,12,1408,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
45,ETEL_136,0,2,13,1367,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
46,ETEL_716,0,2,14,1663,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
47,ETEL_103,0,2,15,1553,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
48,ETEL_129,0,3,0,1426,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
49,CH_0_3_1,0,3,1,0,1,0,GROUP00;TANK;CAEN;SPARE,,,,,,
50,ETEL_128,0,3,2,1448,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
51,ETEL_714,0,3,3,1389,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
52,ETEL_715,0,3,1,1463,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
53,CH_0_3_5,0,3,5,0,1,0,GROUP00;TANK;CAEN;SPARE,,,,,,
54,CH_0_3_6,0,3,6,0,1,0,GROUP00;TANK;CAEN;SPARE,,,,,,
55,CH_0_3_7,0,3,7,0,1,0,GROUP00;TANK;CAEN;SPARE,,,,,,
56,CH_0_3_8,0,3,8,0,1,0,GROUP00;TANK;CAEN;SPARE,,,,,,
57,CH_0_3_9,0,3,9,0,1,0,GROUP00;TANK;CAEN;SPARE,,,,,,
58,CH_0_3_10,0,3,10,0,1,0,GROUP00;TANK;CAEN;SPARE,,,,,,
59,CH_0_3_11,0,3,11,0,1,0,GROUP00;TANK;CAEN;SPARE,,,,,,
60,CH_0_3_12,0,3,12,0,1,0,GROUP00;TANK;CAEN;SPARE,,,,,,
61,CH_0_3_13,0,3,13,0,1,0,GROUP00;TANK;CAEN;SPARE,,,,,,
62,CH_0_3_14,0,3,14,0,1,0,GROUP00;TANK;CAEN;SPARE,,,,,,
63,CH_0_3_15,0,3,15,0,1,0,GROUP00;TANK;CAEN;SPARE,,,,,,
64,HM_370,0,4,0,1600,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
65,HM_356,0,4,1,1690,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
66,HM_397,0,4,2,1700,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
67,HM_371,0,4,3,1510,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
68,HM_395,0,4,4,1630,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
69,HM_402,0,4,5,1490,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
70,HM_377,0,4,6,1530,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
71,HM_381,0,4,7,1620,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
72,HM_375,0,4,8,1550,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
73,HM_364,0,4,9,1590,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
74,WM_116,0,4,10,1500,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
75,HM_385,0,4,11,1580,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
76,HM_365,0,4,12,1570,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
77,HM_358,0,4,13,1590,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
78,HM_363,0,4,14,1730,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
79,HM_361,0,4,15,1610,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
80,HM_359,0,5,0,1510,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
81,HM_382,0,5,1,1650,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
82,HM_400,0,5,2,1570,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
83,HM_362,0,5,3,1580,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
84,HM_376,0,5,4,1600,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
85,WM_119,0,5,5,1500,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
86,HM_366,0,5,6,1560,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
87,HM_399,0,5,7,1590,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
88,HM_367,0,5,8,1390,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
89,HM_373,0,5,9,1610,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
90,HM_401,0,5,10,1510,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
91,HM_368,0,5,11,1650,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
92,HM_372,0,5,12,1500,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
93,HM_398,0,5,13,1660,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
94,HM_374,0,5,14,1650,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
95,HM_396,0,5,15,1720,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
96,WM_120,0,6,0,1500,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
97,WM_114,0,6,1,1500,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
98,HM_391,0,6,2,1490,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
99,HM_383,0,6,3,1620,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
100,HM_388,0,6,4,1720,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
101,HM_393,0,6,5,1490,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
102,HM_389,0,6,6,1460,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
103,HM_384,0,6,7,1750,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
104,HM_394,0,6,8,1580,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
105,HM_386,0,6,9,1500,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
106,HM_390,0,6,10,1530,1,0,GROUP00;ACTIVE;TANK;CAEN,,,,,,
